id	ConceptA	ConceptB_Pre	Prerequisite	ca_smog_index	ca_noun_phrases	ca_flesch_reading_ease	ca_number_words	ca_number_sentences	ca_ar_index	core_p_a	cb_smog_index	cb_noun_phrases	cb_flesch_reading_ease	cb_number_words	cb_number_sentences	cb_ar_index	core_p_b	arxiv_common_results_first_1000	core_common_results_first_500	core_p_b_given_a	core_p_a_given_b	core_p_a_and_b	p_ca	p_cb	p_ca_cb	p_ca_given_cb	p_cb_given_ca	page_rank_difference	ca_inlinks	ca_outlinks	cb_inlinks	cb_outlinks	common_neighbors	direct_connections	link_proportion	ngd	pmi	cat_common	ave_tax_simil	max_tax_simil	min_tax_simil
205	Formal_language	String_(computer_science)	1	14.0	342.0	40.69	2332.0	105.0	14.6	0.016889223	13.8	639.0	40.79	4486.0	191.0	14.0	0.033098207	0.009	0.0	0.599017089	0.305664079	0.010116933	6.243e-06	8.487e-06	1.9e-08	0.002259887	0.003072197	-14.4807	468	183	637	248	26	2	0.14957	0.23977	10.1013	2.0	0.40982	1.0	0.0
206	Network_security	Computer_security	1	14.1	170.0	36.39	828.0	47.0	15.7	0.015924668	16.0	1601.0	31.51	9710.0	416.0	17.2	0.016762083	0.33	0.34	0.596007095	0.566231232	0.009491215	3.98e-06	1.9755e-05	1e-08	0.000485437	0.002409639	-58.5153	308	107	1609	451	26	1	0.24675	0.31705	9.48672	1.0	0.56448	1.0	0.25
207	Relational_model	Data	1	13.8	774.0	-55.73	5133.0	198.0	16.0	0.035829425	14.9	144.0	33.75	1358.0	60.0	14.5	0.043608253	0.002	0.116	0.772987682	0.63510236	0.027695704	3.318e-06	1.31e-05	1e-08	0.000732064	0.002890173	-82.4371	191	155	1216	150	7	1	0.06806	0.44907	8.03261	0.0	0.24567	0.42857	0.0
208	Relational_database	Database	1	14.0	325.0	44.24	2402.0	129.0	13.0	0.009705508	14.9	1241.0	33.04	7878.0	345.0	16.0	0.008645925	0.324	0.584	0.890826673	1.0	0.008645925	6.176e-06	4.0919e-05	2.9e-08	0.00070307	0.004658385	-148.2346	520	124	3843	424	17	3	0.33077	0.3412	8.65341	1.0	0.45714	1.0	0.11111
209	Time_complexity	Computer_science	1	14.9	664.0	-79.39	4277.0	157.0	16.0	0.042571756	17.5	668.0	22.85	4178.0	178.0	18.8	0.032146323	0.009	0.152	0.568257919	0.752550683	0.024191738	8.861e-06	8.648e-05	1e-08	0.000110889	0.001082251	-286.7318	762	162	8602	416	9	1	0.17717	0.47629	6.59024	0.0	0.32538	0.45455	0.2
210	Random_graph	Graph_theory	1	14.2	356.0	-226.25	1998.0	69.0	18.7	0.016186324	14.5	608.0	41.29	3743.0	172.0	15.3	0.025421563	0.04	0.444	0.682983076	0.434866475	0.011054986	1.956e-06	1.5305e-05	1.9e-08	0.001253133	0.009803922	-63.95569	119	85	1263	333	13	2	0.29412	0.33895	10.08936	1.0	0.48571	1.0	0.14286
211	Relational_database	Computer_science	1	14.0	325.0	44.24	2402.0	129.0	13.0	0.009705508	17.5	668.0	22.85	4178.0	178.0	18.8	0.032146323	0.001	0.142	0.664344902	0.200576737	0.006447805	6.176e-06	8.648e-05	0.0	0.0	0.0	-301.1836	520	124	8602	416	2	0	0.06154	0.61442	5.06471	0.0	0.24069	0.5	0.0
212	Algorithm	Computation	1	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008158503	18.1	96.0	20.31	560.0	18.0	19.5	0.005745719	0.011	0.194	0.337177523	0.47876758	0.002750864	3.7994e-05	3.136e-06	1.9e-08	0.006116208	0.000504796	179.7937	3540	422	249	78	14	2	0.01469	0.42888	8.10844	1.0	0.21843	1.0	0.0
213	Computer_science	Computer	1	17.5	668.0	22.85	4178.0	178.0	18.8	0.032146331	15.0	1086.0	41.7	8043.0	367.0	15.0	0.012739553	0.012	0.622	0.396294138	0.999988233	0.012739403	8.648e-05	6.193e-05	1.9e-08	0.000309693	0.000221779	48.72	8602	416	5688	770	48	2	0.02964	0.52418	4.60772	0.0	0.21376	0.6	0.0
214	Turing_machine	Computation	1	13.1	1444.0	27.52	8087.0	435.0	14.0	0.005849765	18.1	96.0	20.31	560.0	18.0	19.5	0.005745743	0.073	0.094	0.237048716	0.241340293	0.001386679	6.905e-06	3.136e-06	1.9e-08	0.006116208	0.002777778	11.3502	450	270	249	78	10	2	0.06	0.28589	10.13864	2.0	0.19827	1.0	0.0
215	Graphical_model	Statistical_inference	1	13.9	195.0	-73.4	883.0	70.0	16.9	0.036079704	15.7	677.0	21.5	3336.0	267.0	16.7	0.020046849	0.019	0.132	0.412676447	0.742722426	0.014889244	1.774e-06	4.315e-06	0.0	0.0	0.0	-24.23619	95	90	263	187	1	0	0.09474	0.31236	10.71868	0.0	0.46587	0.66667	0.14286
216	Kalman_filter	Expected_value	1	15.9	2923.0	-1082.91	14427.0	336.0	26.0	0.005300343	13.2	2167.0	-655.79	8462.0	293.0	21.1	0.039233883	0.0	0.02	0.818389408	0.110561186	0.004337745	5.178e-06	8.938e-06	1e-08	0.001072961	0.001851852	-65.1162	274	266	773	159	13	1	0.05839	0.3979	8.46517	0.0	0.17325	0.45455	0.0
217	Coding_theory	Computer_science	1	13.2	450.0	-14.59	2993.0	161.0	13.7	0.025567592	17.5	668.0	22.85	4178.0	178.0	18.8	0.032146497	0.0	0.028	0.60959754	0.48484104	0.015585941	4.411e-06	8.648e-05	1e-08	0.000110889	0.002173913	-319.5238	281	179	8602	416	16	1	0.12811	0.56339	6.12257	0.0	0.28571	0.5	0.14286
218	Recurrence_relation	Mathematics	1	14.8	1504.0	-1023.42	7414.0	239.0	22.8	0.023182612	16.2	727.0	24.48	5136.0	239.0	16.8	0.005189394	0.001	0.048	0.112180202	0.501143351	0.00260063	5.322e-06	0.000198152	1e-08	4.8396e-05	0.001801802	-915.2771	396	159	20104	559	9	1	0.29798	0.54793	6.11562	0.0	0.22679	0.5	0.0
219	Programming_paradigm	Data_structure	1	16.1	217.0	32.73	1772.0	81.0	16.9	0.007156715	14.2	197.0	41.7	1091.0	49.0	15.6	0.051529259	0.002	0.06	0.906463637	0.125895507	0.006487302	6.08e-06	7.269e-06	1e-08	0.001319261	0.001577287	-40.9075	449	185	599	159	16	1	0.06459	0.3273	8.97853	0.0	0.53175	0.66667	0.42857
220	Computer_network	Data	1	14.2	1314.0	43.63	7742.0	383.0	15.0	0.020511342	14.9	144.0	33.75	1358.0	60.0	14.5	0.043608537	0.006	0.14	0.790195703	0.371669764	0.016207975	2.852e-05	1.31e-05	1e-08	0.000732064	0.000336247	76.101	2537	437	1216	150	3	1	0.02562	0.44389	6.62306	0.0	0.30053	0.6	0.0
221	Probability	Uncertainty	1	15.0	566.0	-69.0	3488.0	148.0	16.0	0.011840706	15.0	344.0	35.68	2912.0	139.0	14.4	0.00762883	0.003	0.086	0.281673651	0.437185592	0.003335215	1.59e-05	4.814e-06	1e-08	0.001992032	0.000603136	82.003	1381	277	328	174	14	1	0.02969	0.36768	8.72603	0.0	0.33298	0.66667	0.0
222	Autonomous_robot	Robotics	1	16.0	300.0	38.76	1869.0	74.0	17.3	0.003257427	13.7	1075.0	43.32	7661.0	393.0	14.2	0.000574764	0.229	0.156	0.113170758	0.641385369	0.000368645	2.321e-06	1.8767e-05	1e-08	0.000510986	0.004132231	-51.56285	152	90	1599	358	16	1	0.17763	0.39492	9.02154	0.0	0.39048	0.6	0.14286
223	Analysis_of_algorithms	Algorithm	1	15.7	705.0	-525.7	3418.0	98.0	20.7	0.071828943	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008158567	0.1175	0.392	0.113527912	0.99951259	0.00815459	3.462e-06	3.7994e-05	1.9e-08	0.000504796	0.005540166	-182.929	251	110	3540	422	24	2	0.33466	0.38046	8.78877	0.0	0.45519	0.75	0.27273
224	NP_(complexity)	Computer_science	1	14.2	384.0	22.85	2551.0	106.0	14.6	0.010423097	17.5	668.0	22.85	4178.0	178.0	18.8	0.03214656	0.01	0.012	0.727279402	0.235810738	0.007580504	2.723e-06	8.648e-05	1e-08	0.000110889	0.003521127	-320.6797	177	107	8602	416	5	1	0.14689	0.56978	6.31991	0.0	0.26364	0.45455	0.2
225	Genetic_algorithm	Algorithm	1	16.7	807.0	32.73	5487.0	251.0	16.8	0.014294226	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008158567	0.019	0.814	0.570759581	1.0	0.008158567	5.495e-06	3.7994e-05	1.9e-08	0.000504796	0.003490401	-179.3286	382	191	3540	422	16	2	0.14136	0.44437	7.54546	0.0	0.27739	0.71429	0.0
226	Speech_recognition	Markov_chain	1	14.7	1408.0	41.9	8164.0	380.0	16.0	0.009796961	13.5	2305.0	-443.78	12250.0	424.0	17.3	0.00967663	0.0	0.012	0.269068769	0.27241469	0.002636056	9.618e-06	6.147e-06	1e-08	0.001560062	0.000997009	14.3648	738	265	397	244	5	1	0.00949	0.49688	6.80441	0.0	0.23892	0.55556	0.0
227	Internet	Routing	1	15.4	1590.0	39.87	9539.0	398.0	16.6	0.006341794	14.1	342.0	48.33	2651.0	115.0	15.4	0.000793515	0.041	0.048	0.047086619	0.376317464	0.000298614	0.000112766	5.198e-06	1e-08	0.001845018	8.5041e-05	536.6551	11139	620	371	171	12	1	0.00575	0.54641	6.17892	0.0	0.19988	0.66667	0.0
228	NP_(complexity)	Turing_machine	1	14.2	384.0	22.85	2551.0	106.0	14.6	0.010423097	13.1	1444.0	27.52	8087.0	435.0	14.0	0.005849788	0.036	0.03	0.215490277	0.383958533	0.002246076	2.723e-06	6.905e-06	1e-08	0.001388889	0.003521127	-20.5622	177	107	450	270	6	1	0.24859	0.22834	11.33558	0.0	0.31917	0.42857	0.0
229	Autonomous_robot	Motion_planning	1	16.0	300.0	38.76	1869.0	74.0	17.3	0.003257427	14.4	413.0	35.07	2421.0	117.0	15.5	0.014364337	0.074	0.092	0.506614929	0.114885997	0.001650261	2.321e-06	2.129e-06	1e-08	0.004504505	0.004132231	1.54115	152	90	117	105	5	1	0.03289	0.32223	10.36117	0.0	0.35873	0.42857	0.2
230	SQL	Database	1	13.8	633.0	44.44	2781.0	139.0	15.3	0.000374445	14.9	1241.0	33.04	7878.0	345.0	16.0	0.008645973	0.089	0.024	0.69903915	0.030274381	0.000261751	1.3512e-05	4.0919e-05	1.9e-08	0.000468713	0.001419446	-126.1266	1075	334	3843	424	56	2	0.28279	0.3028	8.42732	0.0	0.43155	0.71429	0.0
231	Python_(programming_language)	Object-oriented_programming	1	12.9	1109.0	46.67	5832.0	321.0	12.9	0.011879911	14.4	904.0	42.61	5461.0	300.0	16.0	0.013554939	0.153	0.024	0.560136629	0.490918722	0.006654373	4.0047e-05	1.9045e-05	2.9e-08	0.001510574	0.000718391	39.8607	3644	532	1644	342	53	3	0.06065	0.35238	7.43113	0.0	0.42935	0.75	0.09091
232	Calculus	Algebra	1	14.8	772.0	-60.24	5688.0	241.0	14.6	0.001143193	15.2	618.0	26.0	4185.0	209.0	13.7	0.002756845	0.002	0.016	0.299597629	0.124235495	0.000342498	1.2716e-05	1.847e-05	1.9e-08	0.001038422	0.001508296	18.7822	1004	322	1605	321	22	2	0.17231	0.26372	8.97226	0.0	0.5	0.5	0.5
233	Software_engineering	Computer	1	16.5	496.0	25.08	2767.0	132.0	18.2	0.019982372	15.0	1086.0	41.7	8043.0	367.0	15.0	0.01273971	0.001	0.216	0.374250231	0.587015479	0.007478407	1.3924e-05	6.193e-05	1.9e-08	0.000309693	0.00137741	-219.172	1260	192	5688	770	16	2	0.05	0.54784	5.3619	0.0	0.21376	0.6	0.0
234	Correlation_and_dependence	Random_variable	1	16.0	428.0	-240.03	2952.0	117.0	17.3	0.070532273	13.6	903.0	-385.37	5092.0	184.0	19.2	0.025557003	0.0	0.094	0.356962141	0.985144891	0.025177351	1.0338e-05	8.899e-06	1.9e-08	0.002155172	0.001855288	5.163	913	165	757	171	9	2	0.05367	0.33508	8.37362	0.0	0.46825	0.66667	0.33333
235	Finite_set	Mathematics	1	12.6	418.0	-29.88	2437.0	167.0	12.5	0.036039544	16.2	727.0	24.48	5136.0	239.0	16.8	0.005189607	0.001	0.08	0.122227703	0.848817851	0.004405031	4.421e-06	0.000198152	1e-08	4.8396e-05	0.002169197	-899.7689	344	117	20104	559	15	1	0.47093	0.50653	6.77592	0.0	0.18125	0.4	0.0
236	Monad_(functional_programming)	Computation	1	14.0	1272.0	-191.8	7718.0	281.0	17.2	0.017634285	18.1	96.0	20.31	560.0	18.0	19.5	0.005745948	0.004	0.002	0.144288328	0.442820166	0.002544422	2.915e-06	3.136e-06	1e-08	0.003058104	0.003289474	-15.10369	130	174	249	78	1	1	0.03077	0.39379	9.17516	0.0	0.17083	0.45455	0.0
237	Cryptography	Algorithm	1	15.9	1027.0	32.53	6856.0	279.0	16.8	0.00020331	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008158945	0.005	0.028	0.568146538	0.014157457	0.00011551	2.4051e-05	3.7994e-05	1.9e-08	0.000504796	0.000797448	-71.837	2084	424	3540	422	16	2	0.08349	0.39045	6.7858	0.0	0.22019	0.66667	0.0
238	SQL	Computer_science	1	13.8	633.0	44.44	2781.0	139.0	15.3	0.00037446	17.5	668.0	22.85	4178.0	178.0	18.8	0.032147949	0.0	0.006	0.689422672	0.008030419	0.000258162	1.3512e-05	8.648e-05	0.0	0.0	0.0	-279.0756	1075	334	8602	416	6	0	0.04558	0.61682	4.63166	0.0	0.26134	0.6	0.0
239	Pipeline_(computing)	Central_processing_unit	1	13.9	188.0	50.87	1259.0	65.0	14.8	0.008050102	16.2	1043.0	38.15	7068.0	282.0	16.7	0.039299433	0.007	0.0	0.759005537	0.155474821	0.006110072	2.167e-06	3.0361e-05	1e-08	0.000315856	0.004424779	-177.9406	159	67	2832	334	13	1	0.3522	0.3813	9.1844	0.0	0.71429	0.71429	0.71429
240	Data_warehouse	Data_structure	1	14.5	667.0	8.16	3821.0	180.0	15.6	0.043679847	14.2	197.0	41.7	1091.0	49.0	15.6	0.051531531	0.15	0.394	0.999140006	0.846904441	0.043642282	4.45e-06	7.269e-06	1e-08	0.001319261	0.002155172	-43.438	323	141	599	159	5	1	0.01548	0.49952	6.91766	0.0	0.54762	0.66667	0.42857
241	Haskell_(programming_language)	Programming_language	1	13.3	678.0	46.37	3036.0	191.0	14.5	0.0117665	14.9	684.0	41.8	6037.0	277.0	15.8	0.011684657	0.882	0.204	0.993043048	0.99999865	0.011684641	1.0673e-05	2.805e-05	1.9e-08	0.000683761	0.001796945	-126.2637	767	346	2530	395	30	2	0.30117	0.27462	9.12128	0.0	0.42021	0.71429	0.0
242	Software_engineering	Computer_science	1	16.5	496.0	25.08	2767.0	132.0	18.2	0.01998361	17.5	668.0	22.85	4178.0	178.0	18.8	0.032148249	0.004	0.2	0.694519834	0.431719124	0.013879014	1.3924e-05	8.648e-05	1.9e-08	0.000221779	0.00137741	-267.892	1260	192	8602	416	17	2	0.23095	0.412	6.97274	0.0	0.57857	0.6	0.42857
243	Programmer	Programming_language	1	16.0	284.0	32.43	1883.0	84.0	16.6	0.000460627	14.9	684.0	41.8	6037.0	277.0	15.8	0.011684696	0.053	0.07	0.659957863	0.026016479	0.000303995	1.7175e-05	2.805e-05	1e-08	0.00034188	0.000558347	-125.223	1625	166	2530	395	22	1	0.05292	0.42455	6.61265	0.0	0.39881	0.66667	0.25
244	Interpolation	Numerical_analysis	1	12.1	327.0	-356.47	1933.0	88.0	13.9	0.001840127	14.5	558.0	-183.08	3035.0	159.0	15.9	0.044653728	0.016	0.122	0.90824622	0.037427739	0.001671288	4.881e-06	1.1834e-05	1.9e-08	0.001620746	0.003929273	-28.7414	383	126	979	255	8	2	0.09138	0.35399	8.77045	0.0	0.25185	0.6	0.0
245	Finite-state_machine	Computer_science	1	11.9	845.0	6.1	3772.0	265.0	12.7	0.035198602	17.5	668.0	22.85	4178.0	178.0	18.8	0.032148288	0.012	0.066	0.583014171	0.638332086	0.020521284	6.713e-06	8.648e-05	1e-08	0.000110889	0.001428571	-297.2296	520	180	8602	416	16	1	0.15	0.51656	6.35011	0.0	0.0	0.0	0.0
246	Cache_coherence	Parallel_computing	1	14.4	213.0	50.67	1600.0	80.0	13.0	0.002794654	16.1	1031.0	16.83	6451.0	307.0	16.5	0.016386163	0.012	0.066	0.502087798	0.085630875	0.001403161	1.947e-06	1.169e-05	1e-08	0.000820345	0.004926108	-36.42944	130	73	861	358	9	1	0.06923	0.43475	8.55522	1.0	0.73413	1.0	0.55556
247	Cluster_analysis	Computer_science	1	16.2	962.0	-106.7	5995.0	225.0	18.7	0.043629769	17.5	668.0	22.85	4178.0	178.0	18.8	0.032148343	0.001	0.092	0.56538481	0.767305746	0.024667609	5.648e-06	8.648e-05	1e-08	0.000110889	0.001697793	-310.1931	374	215	8602	416	10	1	0.05615	0.6376	4.9325	0.0	0.27282	0.5	0.14286
248	Automated_theorem_proving	Predicate_logic	1	15.0	541.0	36.08	2560.0	142.0	15.7	0.011085102	14.2	1774.0	-60.44	12058.0	540.0	15.3	0.004852498	0.003	0.06	0.143256851	0.327257621	0.001588017	4.872e-06	1.956e-06	1e-08	0.004901961	0.001968504	-4.3978	259	249	136	68	6	1	0.03089	0.3329	10.05326	0.0	0.39762	0.6	0.25
249	NP_(complexity)	Computational_complexity_theory	1	14.2	384.0	22.85	2551.0	106.0	14.6	0.010424099	14.3	839.0	7.45	5500.0	227.0	14.6	0.028855877	0.069	0.134	0.933487994	0.337219756	0.009730772	2.723e-06	9.734e-06	1.9e-08	0.001970443	0.007042254	-42.288	177	107	788	227	28	2	0.59322	0.19795	11.78212	0.0	0.66667	0.66667	0.66667
250	Computer_graphics	Algorithm_design	1	15.0	1178.0	40.08	7547.0	332.0	15.9	0.013218422	16.7	64.0	32.43	261.0	10.0	17.7	0.024339652	0.001	0.174	0.673973667	0.366022824	0.008908868	1.7472e-05	6.23e-07	0.0	0.0	0.0	76.15527	1382	440	19	46	0	0	0.00072	0.58251	7.47706	0.0	0.49206	0.55556	0.42857
251	Graphical_model	Machine_learning	1	13.9	195.0	-73.4	883.0	70.0	16.9	0.036082095	15.9	581.0	31.21	3811.0	160.0	17.7	0.013569465	0.006	0.102	0.262135124	0.697034467	0.009458384	1.774e-06	1.5161e-05	1.9e-08	0.001265022	0.010810811	-54.55999	95	90	1294	287	9	2	0.29474	0.35478	10.05741	0.0	0.26402	0.42857	0.14286
252	Markov_chain	Expected_value	1	13.5	2305.0	-443.78	12250.0	424.0	17.3	0.009677167	13.2	2167.0	-655.79	8462.0	293.0	21.1	0.039236692	0.001	0.038	0.783942529	0.193348175	0.007586343	6.147e-06	8.938e-06	1e-08	0.001072961	0.001560062	-55.6712	397	244	773	159	6	1	0.08312	0.33642	8.97461	0.0	0.31385	0.45455	0.0
253	Lexical_analysis	Finite-state_machine	1	15.1	445.0	40.18	3428.0	150.0	15.8	0.043018923	11.9	845.0	6.1	3772.0	265.0	12.7	0.035198839	0.0	0.046	0.595713384	0.728062326	0.025626948	3.347e-06	6.713e-06	1.9e-08	0.002857143	0.005730659	-19.72	224	125	520	180	7	2	0.0625	0.36341	9.13516	0.0	0.0	0.0	0.0
254	Finite_difference	Numerical_analysis	1	14.1	892.0	-841.5	4176.0	139.0	20.3	0.029536872	14.5	558.0	-183.08	3035.0	159.0	15.9	0.044654051	0.029	0.09	0.837165457	0.553751528	0.024727249	4.43e-06	1.1834e-05	1.9e-08	0.001620746	0.004329004	-41.3051	319	143	979	255	9	2	0.16928	0.30204	9.65984	0.0	0.36	0.6	0.2
255	Graphics_processing_unit	Parallel_computing	1	14.7	928.0	39.97	4700.0	194.0	16.0	0.024296336	16.1	1031.0	16.83	6451.0	307.0	16.5	0.016386281	0.037234043	0.106	0.38721851	0.574138256	0.009407991	1.4193e-05	1.169e-05	1.9e-08	0.001640689	0.001351351	13.9485	1158	322	861	358	20	2	0.04577	0.35861	7.95816	0.0	0.38932	0.71429	0.11111
256	Recursion_(computer_science)	Computer_programming	1	16.2	817.0	-82.94	5495.0	197.0	18.7	0.032326177	15.8	357.0	33.65	2294.0	104.0	16.5	0.014156111	0.046332046	0.018	0.414729115	0.947054335	0.013406607	3.807e-06	1.6082e-05	1e-08	0.000596303	0.002518892	-70.9537	227	170	1410	267	12	1	0.05727	0.47178	7.56994	0.0	0.40608	0.66667	0.0
257	Transaction_processing	Database	1	15.8	183.0	39.47	1656.0	69.0	17.6	0.012717839	14.9	1241.0	33.04	7878.0	345.0	16.0	0.008646612	0.0	0.122	0.249007221	0.366251419	0.003166834	2.234e-06	4.0919e-05	1.9e-08	0.000468713	0.008583691	-167.594	172	61	3843	424	9	2	0.31977	0.41589	8.60461	0.0	0.57672	0.71429	0.42857
258	Compiler	Regular_expression	1	15.1	993.0	35.27	5714.0	292.0	15.1	0.00040236	14.1	955.0	35.37	6092.0	298.0	14.1	0.025276292	0.006	0.006	0.592242529	0.009427587	0.000238294	1.9199e-05	8.151e-06	1.9e-08	0.002352941	0.000999001	67.323	1710	292	575	275	17	2	0.03041	0.38794	7.95077	0.0	0.35972	0.66667	0.0
259	Wireless_sensor_network	Communication	1	15.1	519.0	33.34	3133.0	146.0	16.2	0.014547149	15.3	721.0	34.76	5527.0	284.0	16.2	0.0115599	0.001	0.106	0.362188812	0.455783757	0.005268815	3.577e-06	2.8683e-05	0.0	0.0	0.0	-141.7002	256	117	2743	248	4	0	0.02344	0.62416	5.32095	0.0	0.17143	0.2	0.14286
260	B-tree	Computer_science	1	11.6	809.0	42.21	5963.0	275.0	11.6	0.041717906	17.5	668.0	22.85	4178.0	178.0	18.8	0.032148935	0.0	0.06	0.52349631	0.679312389	0.02183917	2.81e-06	8.648e-05	1e-08	0.000110889	0.003412969	-325.77631	161	132	8602	416	3	1	0.14907	0.57232	6.34112	0.0	0.19958	0.5	0.0
261	Computational_complexity_theory	Foundations_of_mathematics	1	14.3	839.0	7.45	5500.0	227.0	14.6	0.028856382	15.8	889.0	32.94	5866.0	264.0	16.0	0.071794156	0.006	0.116	0.999065711	0.401556659	0.028829421	9.734e-06	4.219e-06	1e-08	0.002272727	0.000985222	36.0145	788	227	201	239	3	1	0.01777	0.40083	8.69178	0.0	0.32143	0.42857	0.0
262	Information_assurance	Information_security	1	18.0	120.0	23.16	770.0	33.0	18.4	0.036231508	16.5	1357.0	24.88	9110.0	418.0	17.4	0.036944451	0.021	0.576	0.993117478	0.97395261	0.035982144	1.947e-06	9.484e-06	1.9e-08	0.002022245	0.009852217	-26.1898	120	83	676	313	23	2	0.23333	0.3012	10.65712	1.0	0.36111	1.0	0.0
263	Web_browser	Computer	1	13.2	381.0	50.77	2038.0	96.0	14.0	0.007531641	15.0	1086.0	41.7	8043.0	367.0	15.0	0.012740799	0.002	0.15	0.379628485	0.224414927	0.002859226	2.6525e-05	6.193e-05	1e-08	0.000154847	0.000361533	-136.758	2561	205	5688	770	15	1	0.03436	0.55508	4.82077	0.0	0.22222	0.33333	0.0
264	Mathematical_proof	Mathematics	1	14.6	522.0	-8.56	3560.0	168.0	14.8	0.013858681	16.2	727.0	24.48	5136.0	239.0	16.8	0.005189749	0.051	0.096	0.271689661	0.725518843	0.00376526	5.725e-06	0.000198152	1.9e-08	9.6791e-05	0.003350084	-910.5241	359	238	20104	559	44	2	0.30641	0.54967	6.15586	1.0	0.26329	1.0	0.0
265	Computational_complexity_theory	Computer_science	1	14.3	839.0	7.45	5500.0	227.0	14.6	0.028855474	17.5	668.0	22.85	4178.0	178.0	18.8	0.03214742	0.02	0.116	0.617084439	0.553894032	0.017806264	9.734e-06	8.648e-05	1e-08	0.000110889	0.000985222	-278.3917	788	227	8602	416	19	1	0.23604	0.44125	7.00418	0.0	0.3125	0.33333	0.25
266	Python_(programming_language)	Computer_programming	1	12.9	1109.0	46.67	5832.0	321.0	12.9	0.011876992	15.8	357.0	33.65	2294.0	104.0	16.5	0.014152371	0.268	0.064	0.527105901	0.442359251	0.006260432	4.0047e-05	1.6082e-05	1e-08	0.000596303	0.000239464	38.4759	3644	532	1410	267	27	1	0.03321	0.42001	6.78361	0.0	0.30214	0.5	0.11111
267	Relational_model	Predicate_logic	1	13.8	774.0	-55.73	5133.0	198.0	16.0	0.035824541	14.2	1774.0	-60.44	12058.0	540.0	15.3	0.004851306	0.005	0.068	0.104079144	0.768573966	0.003728588	3.318e-06	1.956e-06	1e-08	0.004901961	0.002890173	-5.2196	191	155	136	68	2	1	0.02618	0.34874	9.81457	0.0	0.16637	0.27273	0.0
268	Compiler	Computer_science	1	15.1	993.0	35.27	5714.0	292.0	15.1	0.000402344	17.5	668.0	22.85	4178.0	178.0	18.8	0.03213695	0.001	0.02	0.878162137	0.010994294	0.000353323	1.9199e-05	8.648e-05	1e-08	0.000110889	0.0004995	-230.427	1710	292	8602	416	11	1	0.10877	0.48445	5.88645	0.0	0.32828	0.66667	0.14286
269	CPU_cache	Computer_architecture	1	14.0	1461.0	47.83	10133.0	431.0	13.9	0.001496035	14.9	453.0	35.78	2621.0	140.0	14.9	0.015394766	0.016	0.118	0.693540987	0.067397032	0.001037562	8.957e-06	6.262e-06	1e-08	0.001531394	0.001070664	13.6307	750	184	488	165	15	1	0.048	0.33121	8.84597	1.0	0.62302	1.0	0.42857
270	Divide_and_conquer_algorithms	Algorithm	1	16.8	270.0	18.49	2191.0	76.0	18.2	0.070669071	15.0	1345.0	41.4	9595.0	447.0	15.0	0.008158101	0.012	0.01	0.115380721	0.999478712	0.008153848	2.465e-06	3.7994e-05	1.9e-08	0.000504796	0.007782101	-192.40008	130	127	3540	422	31	2	0.26923	0.44005	8.47491	1.0	0.35963	1.0	0.14286
271	Computer_programming	Computer	1	15.8	357.0	33.65	2294.0	104.0	16.5	0.014139377	15.0	1086.0	41.7	8043.0	367.0	15.0	0.012728104	0.037	0.422	0.90029787	1.000121498	0.012729651	1.6082e-05	6.193e-05	1e-08	0.000154847	0.000596303	-197.0449	1410	267	5688	770	49	1	0.0844	0.47699	6.11716	1.0	0.40952	1.0	0.0
272	Object-oriented_programming	Software_design_pattern	1	14.4	904.0	42.61	5461.0	300.0	16.0	0.013540753	13.2	268.0	37.81	1358.0	94.0	15.5	0.033190094	0.044	0.112	0.693562531	0.282956674	0.009391359	1.9045e-05	4.92e-06	1.9e-08	0.003898635	0.001007049	71.4487	1644	342	294	219	57	2	0.03954	0.33391	9.29723	0.0	0.48214	0.66667	0.33333
273	Randomized_algorithm	Computational_complexity_theory	1	14.2	468.0	-84.09	2967.0	136.0	13.8	0.01141769	14.3	839.0	7.45	5500.0	227.0	14.6	0.028838803	0.009	0.162	0.615891038	0.243839974	0.007032053	3.376e-06	9.734e-06	1.9e-08	0.001970443	0.005681818	-42.2928	225	127	788	227	22	2	0.25333	0.26417	10.55459	0.0	0.45238	0.66667	0.14286
274	Computational_complexity_theory	Algorithm_design	1	14.3	839.0	7.45	5500.0	227.0	14.6	0.02883713	16.7	64.0	32.43	261.0	10.0	17.7	0.024305543	0.003	0.168	0.49064321	0.582119965	0.014148742	9.734e-06	6.23e-07	0.0	0.0	0.0	53.73827	788	227	19	46	2	0	0.00761	0.39292	10.87251	0.0	0.44444	0.55556	0.33333
275	Polynomial	Integer	1	15.1	913.0	-206.09	6722.0	257.0	16.0	0.003345456	14.3	383.0	-244.33	2291.0	100.0	14.5	0.003966077	0.001	0.086	0.376532684	0.317611952	0.001259674	1.2332e-05	1.7022e-05	1e-08	0.00056338	0.000777605	-84.2933	1012	274	1541	234	21	1	0.13538	0.2868	8.68292	0.0	0.42698	0.66667	0.2
